airport,flight_count,late_arrival_flights,late_arrival_rate_pct,avg_arrival_delay,cancelled_flights,cancellation_rate_pct
DFW,25124,5087,20.25,8.2,1592,6.34
DEN,24732,6074,24.56,6.59,313,1.27
ATL,23881,5247,21.97,11.77,1248,5.23
ORD,21643,4495,20.77,4.15,383,1.77
CLT,16877,3144,18.63,4.57,760,4.5
PHX,15956,1927,12.08,-3.32,149,0.93
LAX,15157,1934,12.76,-3.84,158,1.04
LAS,15007,2210,14.73,-1.6,168,1.12
MCO,13058,2404,18.41,2.46,211,1.62
SEA,11882,1864,15.69,-1.43,109,0.92
DCA,11734,2478,21.12,7.49,1097,9.35
LGA,10905,2188,20.06,2.28,322,2.95
SFO,10839,1432,13.21,-1.88,81,0.75
BOS,10624,2134,20.09,2.15,252,2.37
MIA,10182,2214,21.74,6.02,216,2.12
EWR,10144,1949,19.21,2.32,209,2.06
